"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50"
"g314",0,0,0,0,0,0,0,0,0,0,0,136.541,0,0,0,0,0,0,0,11.222,0,0,0,0,0,0,70.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.456,0,0,0,0,0,0
"g315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g316",1.614,955.184,10.458,7.642,342.389,18.59,538.999,12.43,10.827,324.718,0,12.1,2.918,4.857,0,0,1921.451,1.551,13.585,674.734,5.8,5.585,6.234,187.544,7.758,7.151,11.068,5965.363,8630.974,1.792,275.036,7.146,362.631,16.603,49.053,4.662,0,1.437,1.515,54.822,14.998,107.069,629.817,245.858,0.537,42.441,41.043,29.992,1.954,128.765
"g317",0,3.855,8.3,0,0,0,11.683,6.169,29.322,0.937,35.676,0,0,937.657,1150.32,2.902,2.299,1.544,282.486,0,0.908,0,0,0,2.577,0,83.097,0,0,70.258,0.965,0,8.513,0.795,0,677.868,0,5.014,0.952,1.968,0,256.049,399.089,0,0,1190.342,0.916,0,0,62.083
"g318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g319",1.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0.789,0,0,378.277,0,0,0
"g320",0,0,153.552,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724,0,0,0,20.877,0,0,335.914,0,0,0,349.289,118.223,0,0,0,0,0,0,0,0,0,244.12,0,0,663.981,276.669,0,0,0,589.718,0,0,0
"g321",745.449,1553.551,167.351,400.989,425.741,43.377,17.9,24.644,45.596,771.934,54.825,25.99,1720.425,526.493,536.255,2.902,464.583,16.301,19.144,750.322,88.627,885.874,350.999,12.695,2254.744,460.731,614.407,200.047,49.717,388.068,1333.47,1241.37,2261.856,1104.352,269.713,666.625,814.078,85.832,694.331,13.361,24.66,148.967,1223.01,30.382,1284.628,664.419,2124.947,4.926,971.672,252.741
"g322",2.619,12.374,60.778,166.576,98.093,24.787,3.616,9.993,15.8,649.632,194.743,15.867,4.552,103.621,828.039,147.999,191.548,395.511,0,158.056,406.13,457.935,68.281,10.235,467.58,16.45,343.298,803.914,6.191,13.841,5.037,20.503,5.626,19.75,79.351,190.66,2.2,34.385,330.635,51.969,0,16.883,417.305,16.86,226.256,164.928,1185.052,26.898,44.851,11.669
"g323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
